Country/Region,Date,New cases,New deaths,New recovered
Afghanistan,2020-01-31,0,0,0
Afghanistan,2020-02-29,1,0,0
Afghanistan,2020-03-31,174,4,5
Afghanistan,2020-04-30,1952,60,255
Afghanistan,2020-05-31,13081,194,1068
Afghanistan,2020-06-30,16299,494,12803
Afghanistan,2020-07-31,5158,532,11378
Afghanistan,2020-08-31,1494,119,3580
Afghanistan,2020-09-30,1109,57,3700
Afghanistan,2020-10-31,2157,78,1532
Afghanistan,2020-11-30,4849,257,2510
Afghanistan,2020-12-31,5252,396,4896
Afghanistan,2021-01-31,3497,209,5952
Afghanistan,2021-02-28,691,43,1654
Afghanistan,2021-03-31,740,41,2217
Afghanistan,2021-04-30,3291,141,1656
Afghanistan,2021-05-31,377,12,185
Albania,2020-01-31,0,0,0
Albania,2020-02-29,0,0,0
Albania,2020-03-31,243,15,52
Albania,2020-04-30,530,16,418
Albania,2020-05-31,364,2,402
Albania,2020-06-30,1398,29,587
Albania,2020-07-31,2741,95,1493
Albania,2020-08-31,4237,127,2262
Albania,2020-09-30,4136,103,2633
Albania,2020-10-31,7226,122,3342
Albania,2020-11-30,17307,301,7660
Albania,2020-12-31,20134,371,14785
Albania,2021-01-31,19811,199,13790
Albania,2021-02-28,29040,416,22349
Albania,2021-03-31,17990,439,21498
Albania,2021-04-30,5928,159,18067
Albania,2021-05-31,153,3,1582
Algeria,2020-01-31,0,0,0
Algeria,2020-02-29,1,0,0
Algeria,2020-03-31,715,44,46
Algeria,2020-04-30,3290,406,1733
Algeria,2020-05-31,5388,203,3969
Algeria,2020-06-30,4513,259,4149
Algeria,2020-07-31,16487,298,10640
Algeria,2020-08-31,14100,300,10707
Algeria,2020-09-30,7036,226,4930
Algeria,2020-10-31,6412,228,4027
Algeria,2020-11-30,25257,467,13608
Algeria,2020-12-31,16411,325,13318
Algeria,2021-01-31,7729,135,6217
Algeria,2021-02-28,5753,92,4754
Algeria,2021-03-31,4100,110,3440
Algeria,2021-04-30,4916,160,3570
Algeria,2021-05-31,414,17,290
Andorra,2020-01-31,0,0,0
Andorra,2020-02-29,0,0,0
Andorra,2020-03-31,376,12,10
Andorra,2020-04-30,369,30,458
Andorra,2020-05-31,19,9,226
Andorra,2020-06-30,91,1,105
Andorra,2020-07-31,70,0,8
Andorra,2020-08-31,251,1,101
Andorra,2020-09-30,874,0,524
Andorra,2020-10-31,2706,22,2043
Andorra,2020-11-30,1989,1,2398
Andorra,2020-12-31,1304,8,1559
Andorra,2021-01-31,1888,17,1661
Andorra,2021-02-28,929,9,1353
Andorra,2021-03-31,1144,5,869
Andorra,2021-04-30,1222,10,1369
Andorra,2021-05-31,50,2,69
Angola,2020-01-31,0,0,0
Angola,2020-02-29,0,0,0
Angola,2020-03-31,7,2,1
Angola,2020-04-30,20,0,6
Angola,2020-05-31,59,2,11
Angola,2020-06-30,198,9,75
Angola,2020-07-31,864,39,344
Angola,2020-08-31,1506,56,634
Angola,2020-09-30,2318,75,870
Angola,2020-10-31,5833,101,2582
Angola,2020-11-30,4334,64,3328
Angola,2020-12-31,2414,57,3193
Angola,2021-01-31,2243,61,6991
Angola,2021-02-28,1011,42,1287
Angola,2021-03-31,1504,29,1171
Angola,2021-04-30,4341,59,3383
Angola,2021-05-31,341,6,37
Antigua and Barbuda,2020-01-31,0,0,0
Antigua and Barbuda,2020-02-29,0,0,0
Antigua and Barbuda,2020-03-31,7,0,0
Antigua and Barbuda,2020-04-30,17,3,11
Antigua and Barbuda,2020-05-31,2,0,8
Antigua and Barbuda,2020-06-30,43,0,3
Antigua and Barbuda,2020-07-31,23,0,45
Antigua and Barbuda,2020-08-31,3,0,24
Antigua and Barbuda,2020-09-30,7,0,1
Antigua and Barbuda,2020-10-31,27,0,25
Antigua and Barbuda,2020-11-30,13,1,13
Antigua and Barbuda,2020-12-31,18,1,18
Antigua and Barbuda,2021-01-31,75,2,29
Antigua and Barbuda,2021-02-28,496,7,124
Antigua and Barbuda,2021-03-31,406,14,519
Antigua and Barbuda,2021-04-30,96,4,194
Antigua and Barbuda,2021-05-31,0,0,0
Argentina,2020-01-31,0,0,0
Argentina,2020-02-29,0,0,0
Argentina,2020-03-31,1054,27,240
Argentina,2020-04-30,3374,191,1016
Argentina,2020-05-31,12423,321,4080
Argentina,2020-06-30,47679,768,16692
Argentina,2020-07-31,126772,2236,61752
Argentina,2020-08-31,226433,5117,217415
Argentina,2020-09-30,333266,8277,293450
Argentina,2020-10-31,415923,14065,379294
Argentina,2020-11-30,257609,7728,283288
Argentina,2020-12-31,200981,4515,169449
Argentina,2021-01-31,301725,4729,294974
Argentina,2021-02-28,180126,3991,183371
Argentina,2021-03-31,241456,3893,197595
Argentina,2021-04-30,628542,8007,531690
Argentina,2021-05-31,27896,387,41891
Armenia,2020-01-31,0,0,0
Armenia,2020-02-29,0,0,0
Armenia,2020-03-31,532,3,30
Armenia,2020-04-30,1534,29,899
Armenia,2020-05-31,7216,99,2457
Armenia,2020-06-30,16260,312,10662
Armenia,2020-07-31,13008,295,14949
Armenia,2020-08-31,5231,141,8725
Armenia,2020-09-30,6578,80,6279
Armenia,2020-10-31,39454,382,11316
Armenia,2020-11-30,45311,823,53125
Armenia,2020-12-31,24285,659,34359
Armenia,2021-01-31,7617,257,14718
Armenia,2021-02-28,5032,112,5875
Armenia,2021-03-31,20581,323,9670
Armenia,2021-04-30,23425,593,25071
Armenia,2021-05-31,799,31,1620
Australia,2020-01-31,9,0,2
Australia,2020-02-29,16,0,9
Australia,2020-03-31,4534,18,347
Australia,2020-04-30,2207,75,5384
Australia,2020-05-31,436,10,876
Australia,2020-06-30,718,1,422
Australia,2020-07-31,9360,97,2943
Australia,2020-08-31,8539,456,8373
Australia,2020-09-30,1277,231,3299
Australia,2020-10-31,499,19,533
Australia,2020-11-30,317,1,232
Australia,2020-12-31,513,1,145
Australia,2021-01-31,393,0,240
Australia,2021-02-28,160,0,104
Australia,2021-03-31,344,0,103
Australia,2021-04-30,489,1,282
Australia,2021-05-31,27,0,33
Austria,2020-01-31,0,0,0
Austria,2020-02-29,9,0,0
Austria,2020-03-31,10171,128,1095
Austria,2020-04-30,5272,456,11812
Austria,2020-05-31,1279,84,2686
Austria,2020-06-30,1035,37,885
Austria,2020-07-31,3364,13,2280
Austria,2020-08-31,6308,15,4468
Austria,2020-09-30,17375,66,12418
Austria,2020-10-31,60112,310,31582
Austria,2020-11-30,177531,2075,154466
Austria,2020-12-31,78359,3038,111260
Austria,2021-01-31,53583,1499,59545
Austria,2021-02-28,45042,840,37918
Austria,2021-03-31,86789,778,70701
Austria,2021-04-30,72641,866,83661
Austria,2021-05-31,3240,40,4757
Azerbaijan,2020-01-31,0,0,0
Azerbaijan,2020-02-29,0,0,0
Azerbaijan,2020-03-31,298,5,26
Azerbaijan,2020-04-30,1506,19,1299
Azerbaijan,2020-05-31,3690,39,2103
Azerbaijan,2020-06-30,12030,150,6287
Azerbaijan,2020-07-31,14354,235,16167
Azerbaijan,2020-08-31,4557,86,7965
Azerbaijan,2020-09-30,3794,57,4107
Azerbaijan,2020-10-31,15040,139,5589
Azerbaijan,2020-11-30,65907,662,31359
Azerbaijan,2020-12-31,97524,1249,109520
Azerbaijan,2021-01-31,11519,491,38893
Azerbaijan,2021-02-28,4318,88,5453
Azerbaijan,2021-03-31,27176,347,9357
Azerbaijan,2021-04-30,57396,950,51335
Azerbaijan,2021-05-31,2271,44,4229
Bahamas,2020-01-31,0,0,0
Bahamas,2020-02-29,0,0,0
Bahamas,2020-03-31,14,0,1
Bahamas,2020-04-30,67,11,24
Bahamas,2020-05-31,21,0,23
Bahamas,2020-06-30,2,0,39
Bahamas,2020-07-31,470,3,4
Bahamas,2020-08-31,1643,36,710
Bahamas,2020-09-30,1906,46,1405
Bahamas,2020-10-31,2591,48,2216
Bahamas,2020-11-30,827,19,1467
Bahamas,2020-12-31,330,7,341
Bahamas,2021-01-31,303,6,541
Bahamas,2021-02-28,345,3,538
Bahamas,2021-03-31,600,9,1288
Bahamas,2021-04-30,1334,11,897
Bahamas,2021-05-31,66,10,67
Bahrain,2020-01-31,0,0,0
Bahrain,2020-02-29,41,0,0
Bahrain,2020-03-31,526,4,295
Bahrain,2020-04-30,2473,4,1205
Bahrain,2020-05-31,8358,11,5173
Bahrain,2020-06-30,15360,68,14658
Bahrain,2020-07-31,14224,60,16509
Bahrain,2020-08-31,10990,43,11207
Bahrain,2020-09-30,18892,61,15791
Bahrain,2020-10-31,10781,70,13881
Bahrain,2020-11-30,5311,20,6422
Bahrain,2020-12-31,5719,11,5076
Bahrain,2021-01-31,10382,23,8382
Bahrain,2021-02-28,19337,74,16490
Bahrain,2021-03-31,22051,72,20226
Bahrain,2021-04-30,32489,125,30613
Bahrain,2021-05-31,2363,5,1924
Bangladesh,2020-01-31,0,0,0
Bangladesh,2020-02-29,0,0,0
Bangladesh,2020-03-31,51,5,25
Bangladesh,2020-04-30,7616,163,135
Bangladesh,2020-05-31,39486,482,9621
Bangladesh,2020-06-30,98330,1197,49843
Bangladesh,2020-07-31,92178,1264,75512
Bangladesh,2020-08-31,75335,1170,69751
Bangladesh,2020-09-30,50483,970,70600
Bangladesh,2020-10-31,44205,672,48658
Bangladesh,2020-11-30,57248,721,56566
Bangladesh,2020-12-31,48578,915,76748
Bangladesh,2021-01-31,21629,568,22285
Bangladesh,2021-02-28,11077,281,17180
Bangladesh,2021-03-31,65079,638,45175
Bangladesh,2021-04-30,147837,2404,139327
Bangladesh,2021-05-31,2811,129,5902
